Product Name,Product Price
"Great Value Red Lentils, 900 g",$2.97
"Great Value Chick Peas, 900 g",$2.97
"Great Value Green Lentils, 900 g",$2.97
"Great Value Red Kidney Beans, 900 g",$2.97
"Great Value Black Turtle Beans, 900 g",$2.97
"Great Value Yellow Split Peas, 900 g",$2.97
"Great Value Pearl Barley, 450 g",$1.97
"Remix Snacks Bean Bark Cranberry Dark Chocolate 100g, 70% dark chocolate",$4.97
"GUXIN MUNG BEANS, GUXIN MUNG BEANS",$6.97
"PEAS, PEAS",97¢
