Product,Superstore Price,Metro Price,Loblaws Price,No Frills Price,Walmart Price
"Pasta, Penne Rigate",0.99,1.39,0.99,0.99,1.08
"Pasta, Rotini/Rotelle/Fusilli",1.49,1.39,0.99,0.99,1.08
"Pasta, Spaghetti",1.59,0.88,0.99,0.99,1.88
Peanut Butter,2.29,2.79,2.29,3.29,2.56
"Peanuts, roasted",2.69,2.64,2.69,2.99,2.88
Pears,1.99,1.39,2.99,0.99,1.77
"Pepper, black, ground",1.99,3.99,1.99,2.49,2.82
Pizza Dough,?,2.99,1.09,2.79,2.24
"Pizza, frozen (premium)",3.89,3.67,4.99,5.89,4.25
"Pizza, frozen (simple)",1.99,2.99,3.99,3.99,3.33
Plastic Wrap,1.49,1.99,N/A,2.69,1.53
Pork,3.99,4.27,4.99,6.49,3.98
Potatoes,2.49,3.49,4.29,4.69,2.97
"Preserves, strawberry",1.59,2.49,2.99,2.29,2.08
Pretzels,1.29,1.67,1.39,1.99,2.98
Red Cabbage,N/A,1.79,,1.69,
"Ribs, Baby Back (pork, unseasoned)",3.49,3.99,4.49,N/A,3.98
"Ribs, Spare Back (pork, unseasoned)",?,2.99,N/A,N/A,2.98
"Rice, instant, white",2.49,1.49,N/A,2.79,2.48
"Rice, regular",1.69,2.98,3.29,2.79,1.28
Salad Dressing,1.39,1.67,1.99,1.67,1.66
"Salami, sliced",2.79,2.74,3.99,5.39,2.48
"Salami, whole (1)",N/A,8.99,,5.99,3.98
"Salami, whole (2)",N/A,7.99,,7.89,N/A
"Salsa, medium",1.49,2.69,1.69,1.87,1.98
"Salt, iodized",0.35,0.47,1.99,0.38,0.72
"Soda, bottle",0.69,0.88,N/A,0.89,1.38
"Soda, bottle (Coke product)",N/A,1.67,N/A,1.89,1.38
"Soda, can",2.29,2.77,2.69,2.99,3.98
"Soda, can (Coke product)",N/A,4.99,N/A,4.99,3.98
"Soup, Chicken Noodle, condensed",0.59,0.67,N/A,0.59,0.64
"Soup, Chicken Noodle, regular",1.39,1.87,1.99,1.99,1.48
"Soup, organic",N/A,2.98,1.99,2.19,1.98
"Soup, Tomato, condensed",0.49,1.09,N/A,0.59,0.64
"Soup, Tomato, regular",N/A,2.07,2.49,2.29,1.48
Sour Cream,1.29,1.54,1.79,2.59,1.58
Spaghetti Sauce,1.19,1.27,2.29,1.35,1.33
"Sugar, brown",1.49,2.19,3.49,1.09,1.88
"Sugar, powdered",1.49,2.19,2.79,1.9,1.88
"Sugar, white",2.19,2.58,3.49,3.49,2.88
"Syrup, breakfast",1.59,1.98,17.99,2.59,1.98
"Tea, green, bags",1.19,2.49,1.99,3.39,2.18
Tomato Paste,0.39,0.59,0.89,0.6,0.44
Tomato Sauce,0.29,0.33,1.49,0.65,0.34
"Tomatoes, slicer",1.59,1.99,0.79,1.69,1.74
"Tuna, chunky, in water",0.59,0.75,1.49,1.39,0.64
"Tuna, solid, in water",1.15,1.99,1.49,1.77,1.12
"Vanilla Extract, pure (not imitation)",1.99,6.99,4.99,5.49,
"Veggies 1, frozen (peas)",0.89,2.48,1.29,1.59,0.98
"Veggies 2, frozen (other)",0.65,1.49,1.49,1.49,1.28
"Waffles, frozen",1.29,1.89,1.99,2.19,1.58
"Water, regular/drinking",2.49,0.59,0.49,0.67,3.98
"Water, Sparkling/Mineral",N/A,1.69,0.79,1.5,1.5
"White Bread/Toast, enriched",0.79,0.88,3.49,0.99,2.18
"Wine, table, Cabernet",2.89,6.99,2.79,5.99,2.97
"Wine, table, Chardonnay",2.89,6.99,2.79,6.49,2.97
"Wine, table, White Zinfandel",2.89,7.49,2.79,5.99,2.97
"Yoghurt, Dannon (etc.)",1.79,2.38,1.99,2.19,2.18
"Yogurt, Fage, 2%, plain",N/A,1.69,1.49,1.5,1.27
"Yogurt, Fage, w/ flavor",1.19,1.69,1.49,1.5,1.27
"Yogurt, flavored, cup",0.39,0.4,0.79,0.5,0.33
"Yogurt, greek style, plain",0.89,1.29,1.99,3.99,4.88
"Yogurt, plain",1.99,1.99,2.99,2.09,2.18
